Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Frequency_Level,Cart_Completion_Frequency_Level,Customer_Segmentation,Cluster
2023/06/07 11:06:40 PM GMT+5:30,59,Others,Once a week,Beauty and Personal Care,Few times a month,others,Multiple pages,4,Yes,Rarely,others,Always,Yes,Rarely,No,1,Yes,3,3,Customer service,User interface of app,433348,4,2,Occasional Shopper,0
2023/06/06 7:08:47 PM GMT+5:30,48,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Rarely,categories,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,No,Never,Sometimes,1,No,5,2,.,.,735054,2,4,Occasional Shopper,1
2023/06/08 9:39:30 PM GMT+5:30,57,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Rarely,Keyword,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,5,Sometimes,3,3,Customer service,Product quality and accuracy,119350,5,1,Occasional Shopper,3
2023/06/07 9:22:24 PM GMT+5:30,30,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a month,others,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,4,Sometimes,4,5,Customer service,.,180686,3,3,Occasional Shopper,0
2023/06/06 7:21:26 PM GMT+5:30,51,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Filter,First page,5,No,Never,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Yes,3,1,.,I don't have any problem with Amazon,538184,2,1,At Risk,1
2023/06/04 11:27:53 PM GMT+5:30,33,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,categories,Multiple pages,3,No,Often,others,Rarely,Yes,Occasionally,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,116480,5,4,Frequent Shopper,0
2023/06/06 7:40:53 PM GMT+5:30,10,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Few times a week,Unknown,Multiple pages,5,Maybe,Rarely,Found a better price elsewhere,Always,No,Rarely,Sometimes,1,Yes,3,2,Wide product selection,Nil,445746,2,2,Occasional Shopper,1
2023/06/06 5:16:58 PM GMT+5:30,30,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Few times a month,categories,First page,2,Yes,Always,others,Always,No,Occasionally,Sometimes,1,Sometimes,5,2,Wide product selection,No problems with Amazon,372797,4,5,Occasional Shopper,3
2023/06/08 9:39:55 PM GMT+5:30,8,Female,Once a month,Clothing and Fashion,Few times a week,Filter,First page,3,Yes,Rarely,High shipping costs,Rarely,No,Never,Yes,5,Sometimes,1,2,All the above,No problems with Amazon,571022,2,2,Occasional Shopper,1
2023/06/11 11:10:14 PM GMT+5:30,11,Female,Once a week,Clothing and Fashion,Few times a month,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,No,2,3,Customer service,Irrelevant product suggestions,952835,4,3,Occasional Shopper,0
2023/06/07 10:10:58 PM GMT+5:30,28,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a day,Keyword,First page,5,Yes,Often,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,797322,1,4,Occasional Shopper,2
2023/06/09 9:35:57 AM GMT+5:30,15,Others,Once a month,Clothing and Fashion;Home and Kitchen,Few times a month,Unknown,First page,3,Maybe,Often,Found a better price elsewhere,Sometimes,No,Never,No,4,Yes,5,3,User-friendly website/app interface,better app interface and lower shipping charges,252740,2,4,Occasional Shopper,2
2023/06/09 9:33:35 AM GMT+5:30,7,Others,Multiple times a week,others,Multiple times a day,Unknown,First page,3,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,5,Yes,5,5,Quick delivery,Shipping speed and reliability,785442,5,4,Frequent Shopper,0
2023/06/08 5:15:27 PM GMT+5:30,48,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a week,others,First page,5,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,3,Sometimes,5,5,Competitive prices,Nothing,769031,5,4,Frequent Shopper,0
2023/06/09 8:10:05 AM GMT+5:30,15,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Few times a week,categories,First page,4,Yes,Often,others,Never,Yes,Never,Sometimes,3,No,4,5,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,397056,3,4,Occasional Shopper,0
2023/06/07 11:41:56 AM GMT+5:30,58,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Rarely,categories,Multiple pages,4,Yes,Always,Changed my mind or no longer need the item,Always,Yes,Rarely,Sometimes,3,No,4,2,Product recommendations,Shipping speed and reliability,757928,4,5,Occasional Shopper,3
2023/06/08 5:27:22 PM GMT+5:30,31,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a day,Unknown,Multiple pages,1,No,Rarely,others,Sometimes,Yes,Never,Yes,3,Sometimes,4,4,Competitive prices,.,542620,2,2,Occasional Shopper,2
2023/06/04 8:00:11 PM GMT+5:30,60,Others,Once a week,Clothing and Fashion;Home and Kitchen;others,Few times a week,others,First page,4,Yes,Sometimes,Found a better price elsewhere,Often,No,Never,No,4,Sometimes,3,4,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,701440,4,3,Frequent Shopper,0
2023/06/09 2:51:07 PM GMT+5:30,51,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Keyword,First page,5,Yes,Rarely,High shipping costs,Always,Yes,Rarely,No,1,Sometimes,3,3,Quick delivery,I don't have any problem with Amazon,119213,1,2,Occasional Shopper,2
2023/06/08 5:35:01 PM GMT+5:30,56,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Few times a week,Keyword,Multiple pages,3,No,Often,Found a better price elsewhere,Always,No,Moderately,No,3,Sometimes,3,3,.,No problems with Amazon,774345,5,4,Occasional Shopper,3
2023/06/08 3:23:58 AM GMT+5:30,28,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,categories,First page,3,Yes,Rarely,Found a better price elsewhere,Rarely,No,Rarely,Yes,1,No,2,4,All the above,Customer service responsiveness,133335,1,2,Occasional Shopper,2
2023/06/06 8:56:17 PM GMT+5:30,10,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,others,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Rarely,No,Never,Sometimes,2,Sometimes,5,2,Customer service,Shipping speed and reliability,886529,1,3,Occasional Shopper,1
2023/06/11 11:15:03 PM GMT+5:30,11,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Rarely,others,Multiple pages,5,No,Always,others,Never,Yes,Moderately,No,5,No,4,4,.,I don't have any problem with Amazon,362553,1,5,Occasional Shopper,2
2023/06/06 6:38:45 PM GMT+5:30,44,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a day,Keyword,First page,2,No,Never,High shipping costs,Sometimes,Yes,Never,No,3,Yes,2,4,Competitive prices,Nil,371416,4,1,Frequent Shopper,0
