Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/07 11:06:40 PM GMT+5:30,59,Others,Once a week,Beauty and Personal Care,Yes,Few times a month,others,Multiple pages,4,Yes,Rarely,others,Always,Yes,Rarely,No,1,Yes,3,3,Customer service,User interface of app,433348
2023/06/06 7:08:47 PM GMT+5:30,48,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,No,Never,Sometimes,1,No,5,2,.,.,735054
2023/06/08 9:39:30 PM GMT+5:30,57,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Sometimes,Rarely,Keyword,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,5,Sometimes,3,3,Customer service,Product quality and accuracy,119350
2023/06/07 9:22:24 PM GMT+5:30,30,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,others,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,4,Sometimes,4,5,Customer service,.,180686
2023/06/06 7:21:26 PM GMT+5:30,51,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,5,No,Never,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Yes,3,1,.,I don't have any problem with Amazon,538184
2023/06/04 11:27:53 PM GMT+5:30,33,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,categories,Multiple pages,3,No,Often,others,Rarely,Yes,Occasionally,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,116480
2023/06/06 7:40:53 PM GMT+5:30,10,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,nan,Multiple pages,5,Maybe,Rarely,Found a better price elsewhere,Always,No,Rarely,Sometimes,1,Yes,3,2,Wide product selection,Nil,445746
2023/06/06 5:16:58 PM GMT+5:30,30,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,categories,First page,2,Yes,Always,others,Always,No,Occasionally,Sometimes,1,Sometimes,5,2,Wide product selection,No problems with Amazon,372797
2023/06/08 9:39:55 PM GMT+5:30,8,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,Filter,First page,3,Yes,Rarely,High shipping costs,Rarely,No,Never,Yes,5,Sometimes,1,2,All the above,No problems with Amazon,571022
2023/06/11 11:10:14 PM GMT+5:30,11,Female,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,No,2,3,Customer service,Irrelevant product suggestions,952835
2023/06/07 10:10:58 PM GMT+5:30,28,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,First page,5,Yes,Often,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,797322
